"Category","Overheads"
"Salary Expense",22.04
"Interest Expense ",2.83
"Marketing Expense",1.09
"Rental Expense",15.05
"Penalty Expense",1.19
"Depreciation Expense",29.01
"Maintenance Expense",15.89
"Shipping Expense",2.65
"Human Resource Expense",10.24
